link,news,tagline,,,,
https://tribune.com.pk/story/2109148/1-eu-un-human-rights-reel-film-festival-sunday/,Event would present 29 award-winning films and documentaries,EU-UN human rights reel film festival from Sunday,,,,0
https://tribune.com.pk/story/2109146/1-training-youth-policies-health-nutrition-conclude/,"Trainers from Italian business school strengthened the skills, vision of staff from partner organisations","Training on youth policies, health and nutrition conclude",,,,0
https://tribune.com.pk/story/2109137/1-capital-lacks-weigh-station-trucks/,Subcommittee directs NHA to submit toll tax details for last two years,Capital lacks weigh station for trucks,,,,2
https://tribune.com.pk/story/2109116/1-pindi-police-kill-citizen/,For stopping his car a bit farther than the point where he was asked to stop,Pindi police kill citizen,,,,2
https://tribune.com.pk/story/2109136/1-rda-yet-start-work-complex-housing-society-projects/,Development authority fails to deliver projects conceived years ago,"RDA yet to start work on its complex, housing society projects",,,,2
https://tribune.com.pk/story/2109130/1-police-recruited-merit-says-igp/,Islamabad police plans security detail for Sri Lankan cricket team,"All police recruited on merit, says IGP",,,,0
https://tribune.com.pk/story/2109128/1-islamabad-youth-demand-revival-student-unions/,Chanting revolutionary slogans hundreds of students flock outside National Press Club,Islamabad youth demand revival of student unions,,,,0
https://tribune.com.pk/story/2109115/1-first-community-health-centre-opens-shah-allah-ditta/,"SAPM on Health Zafar Mirza says govt to upgrade 16 BHUs, 3 RHCs",First community health centre opens at Shah Allah Ditta,,,,0
https://tribune.com.pk/story/2109189/1-ecp-snubs-pml-ns-reply-funding-probe/,Scrutiny committee tells party to furnish details of donors,ECP snubs PML-Ns reply in funding probe,,,,0
https://tribune.com.pk/story/2109179/1-pm-replaces-top-bureaucrats-major-reshuffle/,"Forty-four officers in Islamabad, 90 in Punjab undergo overhaul",PM replaces top bureaucrats in major reshuffle,,,,0
https://tribune.com.pk/story/2109141/1-country-ruled-mafia-alleges-pml-n/,Party spokesperson Marriyum Aurangzeb criticises government,"Country is being ruled by mafia, alleges PML-N",,,,4
https://tribune.com.pk/story/2109123/1-parliamentary-panel-amends-rules-judges-appointment/,New rules allow MPs to interview judges,Parliamentary panel amends rules on judges appointment,,,,4
https://tribune.com.pk/story/2109120/1-wfp-adviser-appreciates-pakistan-prioritising-malnutrition/,HRH Princess Sarah Zeid calls on Shah Mehmood Qureshi in Islamabad,WFP adviser appreciates Pakistan for prioritising malnutrition,,,,0
https://tribune.com.pk/story/2109117/1-qureshi-thanks-malaysia-supporting-pakistan-kashmir-issue/,"FM stresses importance of averting risks to peace, security arising from Indias August 5 move",Qureshi thanks Malaysia for supporting Pakistan on Kashmir issue,,,,1
https://tribune.com.pk/story/2109098/1-govt-legislate-scs-guidance-pm-imran/,Premier describes Thursday verdict as victory of democracy; convenes CCI meeting on Dec 11,Govt to legislate under SCs guidance: PM Imran,,,,0
https://tribune.com.pk/story/2109083/1-pm-imran-satisfied-reforms-pia/,Prime Minister reviews progress on improving facilities at airports,PM Imran satisfied with reforms in PIA,,,,0
https://tribune.com.pk/story/2109021/1-pakistan-welcomes-oics-principled-stance-kashmir-issue/,"OIC Human Rights Commission reaffirms Kashmiris right to self-determination, calls an end to rights violations",Pakistan welcomes OICs principled stance on Kashmir issue,,,,1
https://tribune.com.pk/story/2109018/1-call-averting-ecp-crisis/,Secretary warns LG polls wont be held if commission members not appointed,Call for averting ECP crisis,,,,0
https://tribune.com.pk/story/2109014/1-adiala-3-times-prisoners-capacity/,IHC seeks reply from ministries of railways and interior on Tezgam train accident,Adiala has 3 times more prisoners than its capacity,,,,0
https://tribune.com.pk/story/2108983/1-studio-seven-art-gallery-showcases-paintings-taiwanese-artists/,Event exhibits 30 paintings by Ched Chin and Lui Yin Chi,Studio Seven Art Gallery showcases paintings by Taiwanese artists,,,,0
https://tribune.com.pk/story/2108898/1-student-solidarity-march-protesters-call-restoration-student-unions/,Student unions have been banned since 1984,In pictures: Student Solidarity March calls for restoration of unions,,,,3
https://tribune.com.pk/story/2108894/1-fake-parliament-not-fit-sensitive-legislation-maulana-fazl/,"JUI-F chief addresses protest rally in Karachi, urges ECP to take PTI foreign funding case to its logical conclusion",Fake parliament not fit for sensitive legislation: Maulana Fazl,,,,0
https://tribune.com.pk/story/2108874/1-pakistan-re-elected-opcws-executive-council/,Re-election testimony to Islamabad's commitment and contribution to strengthening OPCWs role: Foreign Office,Pakistan re-elected to OPCWs executive council,,,,0
https://tribune.com.pk/story/2108821/7-arsenal-sack-unai-emery-manager/,"Gunners are without a win in seven games, their worst run since 1992",Arsenal sack Unai Emery as manager,,,,0
https://tribune.com.pk/story/2108798/1-amid-air-apocalypse-mask-clad-lahore-looks-answers/,Lahores worsening air quality has led it to overtake New Delhi on some days as the most polluted city in the world,"Amid 'air apocalypse', mask-clad Lahore looks for answers",,,,2
https://tribune.com.pk/story/2108799/1-imran-khan-praises-turkeys-diplomacy-model/,"The mindset in Turkey changed after Erdogan came to power, says PM Imran",Imran Khan praises Turkeys diplomacy model,,,,0
https://tribune.com.pk/story/2108763/1-five-injured-lahore-blast-cause-still-unclear/,"Bomb seemed to have exploded prematurely, police say",Rickshaw bomb blast in Lahore injures 10,,,,0
https://tribune.com.pk/story/2108735/1-pti-keen-talk-opposition-coas-tenure-legislation/,Ruling party ready to amend current policies to garner opposition support,PTI keen to talk with opposition on COAS tenure legislation,,,,0
https://tribune.com.pk/story/2108669/1-farogh-naseem-takes-oath-federal-minister/,President Arif Alvi administers the oath to Farogh during a ceremony at the President House,Farogh Naseem takes oath as federal minister again,,,,0
https://tribune.com.pk/story/2108709/1-sjc-can-quiz-judge-says-justice-bandial/,Notes that judges accountably necessary for establish public trust in judiciary,"Only SJC can quiz a judge, says Justice Bandial",,,,0
https://tribune.com.pk/story/2108502/1-following-teachings-holy-prophet-urged/,The speakers highlighted key aspects of Prophet Muhammad (PBUH) Seerat and stressed the need for new research studies,Following teachings of Holy Prophet urged,,,,0
https://tribune.com.pk/story/2108519/1-integrated-youth-development-key-tackling-unemployment-says-dar/,SAPM on youth affairs stresses need for creating employment through private businesses,"Integrated youth development key to tackling unemployment, says Dar",,,,1
https://tribune.com.pk/story/2108509/1-sapm-terms-population-resources-balance-vital/,"Lawmakers call for better urban planning, evolving political commitment","SAPM terms population, resources balance vital",,,,0
https://tribune.com.pk/story/2108467/1-cambodia-bound-human-smuggler-five-clients-caught-iia/,"FIA immigration recovers fake documents, visiting cards, letterheads from suspect","Cambodia-bound human smuggler, five clients caught at IIA",,,,0
https://tribune.com.pk/story/2108463/1-allowed-housing-society-built-land-road-ihc/,CDA chairman tells court that NOC was issued during tenure of previous government,Who allowed housing society to be built on land for road: IHC,,,,0
https://tribune.com.pk/story/2108460/1-cda-generates-rs82m-two-months/,Revenue comes from fees of layout plans and completion certificates of buildings,CDA generates Rs82m in two months,,,,1
https://tribune.com.pk/story/2108465/1-traffic-advisory-issued-amid-fog-warning/,Visibility drops to 120 metres on Islamabad-Lahore Motorway,Traffic advisory issued amid fog warning,,,,2
https://tribune.com.pk/story/2108458/1-rescued-pangolin-released-margalla-hills/,The animal os the only mammal in the world having scales on its fluffy and soft body,Rescued pangolin released in Margalla Hills,,,,3
https://tribune.com.pk/story/2108433/1-strength-numbers-students-march-today-heres/,"Six students, mobilising in Sindh, explain why they are taking to the streets",The students march today: heres why,,,,2
https://tribune.com.pk/story/2108528/1-new-parliament-decide-coas-tenure-issue-fazl/,JUI-F chief says govt lacks mandate to legislate,New parliament should decide COAS tenure issue: Fazl,,,,2
https://tribune.com.pk/story/2108516/1-govt-blame-sc-embarrassment/,"If the apex court did not show restraint, the country would have been grappling with a serious constitutional crisis",Govt has itself to blame for SC embarrassment,,,,2
https://tribune.com.pk/story/2108513/1-legal-wizards-fire-making-pti-laughing-stock/,Parliamentary party calls for accountability of govt legal team,Legal wizards under fire for making PTI laughing stock,,,,0
https://tribune.com.pk/story/2108410/1-nawaz-sharif-undergoes-medical-tests-london/,Hussain Nawaz says he advised his father to go to the United States for medical treatment,Nawaz Sharif undergoes medical tests in London,,,,0
https://tribune.com.pk/story/2108370/1-lawyers-boycott-courts-pcbs-call/,"Govt taking unconstitutional steps, lawyers say",Lawyers boycott courts on PCBs call,,,,0
https://tribune.com.pk/story/2108371/1-asad-umar-calls-timely-groundbreaking-cpec-project-plz-take-headline/,The minister chairs separate meetings to review the progress on CPEC and PSDP funded projects,Asad Umar calls for timely groundbreaking of CPEC project,,,,0
https://tribune.com.pk/story/2108330/1-farogh-naseem-sworn-law-minister/,He had resigned to represent COAS in his tenure extension case before the apex court,Farogh Naseem to be sworn in as law minister again,,,,0
https://tribune.com.pk/story/2108333/1-national-institutions-will-never-clash-says-pm/,"Imran Khan says Indian BJP, mafias want to destabilise Pakistan","National institutions will never clash, says PM",,,,2
https://tribune.com.pk/story/2108128/8-zameen-coms-plot-finder-real-game-changer/,"With just a click, users can swipe through digitised society maps of over 1.2 million properties across Pakistan",Zameen.coms Plot Finder: A real game changer,,,,2
https://tribune.com.pk/story/2108238/1-army-chiefs-extension-govts-legal-team-addresses-news-conference/,Army chiefs lawyer says SC ruling a victory of law and democracy,Gen Qamar wont cease to be COAS after 6 months: Farogh Naseem,,,,0
https://tribune.com.pk/story/2108212/1-special-disappointment-external-enemies-mafias-within-pm-imran-reacts-sc-verdict/,Sheikh Rashid upbeat about PML-N support for legislation on COAS tenure extension,PM scoffs at external enemies and mafias within,,,,0
https://tribune.com.pk/story/2108111/1-pm-imran-believed-trees-give-oxygen-even-night/,Oxford-educated premier's comment at launch of govt initiative sparked merciless trolling on social media,"If PM Imran is to be believed, trees give out oxygen even at night",,,,0
https://tribune.com.pk/story/2108129/1-pml-ns-rana-tanveer-elected-new-pac-chairman/,The position had fallen vacant after PML-N President Shehbaz Sharif resigned earlier this month,PML-N's Rana Tanveer elected as new PAC chairman,,,,0
https://tribune.com.pk/story/2108059/1-treason-case-special-court-orders-musharraf-record-statement-dec-5/,Expresses annoyance over not filing written reply; orders prosecution team to come fully prepared on next hearing,Treason case: Special court orders Musharraf to record statement by Dec 5,,,,0
https://tribune.com.pk/story/2108007/1-lhc-questions-musharrafs-case-falls-treason/,Justice Sayyed Naqvi directed govt to submit a complete record of the case by December 3,LHC questions how Musharraf's case falls under 'treason',,,,0
https://tribune.com.pk/story/2107947/1-sc-asks-gen-kiyanis-extension-gen-sharifs-retirement-notifications-resumes-hearing/,Gen Qamar to stay on as army chief as SC gives govt 6 months to legislate on COAS reappointment,SC gives govt six months for legislation for appointment of army chief Gen Qamar Bajwa,,,,0
https://tribune.com.pk/story/2107848/1-cda-removes-encroachment-sectors-13-14/,The CDA officials had brought a bulldozer to tear down the illegal structures,"CDA removes encroachment in sectors I-13, I-14",,,,1
https://tribune.com.pk/story/2107853/1-17-investigation-officers-reprimanded/,"Eight IOs were issued warnings, while eight others were issued show-cause notices",17 investigation officers reprimanded,,,,0
https://tribune.com.pk/story/2107860/1-ex-councilor-killed-right-way-dispute/,The family and supporters of the deceased had staged a protest on GT Road on Tuesday,Ex-councilor killed over right-of-way dispute,,,,2
https://tribune.com.pk/story/2107851/1-culture-strengthens-friendly-ties/,Artworks in the US Embassys collection put on display in the mission,Culture strengthens friendly ties,,,,0
https://tribune.com.pk/story/2107859/1-peanuts-herald-advent-winter/,"Sharp increase in price irks people; Chinese, Potohar varieties among hot favourites",Peanuts herald advent of winter,,,,0
https://tribune.com.pk/story/2107847/1-nust-climbs-four-spots-qs-asia-university-rankings/,Retains position as solitary Pakistani varsity in top 100,NUST climbs four spots in QS Asia University Rankings,,,,1
https://tribune.com.pk/story/2107856/1-mother-child-healthcare-centre-cut-load-polyclinic/,ECC approves over Rs220m for increasing stipends of student nurses in Islamabad,Mother and Child Healthcare Centre to cut load of Polyclinic,,,,0
https://tribune.com.pk/story/2107869/1-funded-aru-probe-justice-isa-asks-sc/,Lawyer says judges tax details gathered illegally,"Who funded ARU probe against Justice Isa, asks SC",,,,2
https://tribune.com.pk/story/2107821/1-pm-authority-appoint-coas-aitzaz/,PPP leader says court cannot interfere in extension matter,PM has authority to appoint COAS: Aitzaz,,,,4
https://tribune.com.pk/story/2107805/1-tezgam-mishap-final-report-not-finalised-yet/,PAC subcommittee holds meeting presided over by Senator Sherry Rehman,Tezgam mishap final report not finalised yet,,,,0
https://tribune.com.pk/story/2107795/1-national-assembly-panel-takes-stock-inflated-power-bills/,"Committee also discusses water shortage in Karachi, police brutality",National Assembly panel takes stock of inflated power bills,,,,2
https://tribune.com.pk/story/2107796/1-sardar-raza-calls-empowering-ecp/,CEC launches commissions strategic plan 2019-2023,Sardar Raza calls for further empowering ECP,,,,0
https://tribune.com.pk/story/2107778/1-minister-directs-national-highway-authority-speed-work-highways/,The meeting reviews the formation of the public-private partnership rules under the Public-Private Authority Act,Minister directs National Highway Authority to speed up work on highways,,,,0
https://tribune.com.pk/story/2107665/1-watch-tomato-gaffe-pti-leader-claims-rise-dollar-rate-benefit-pakistan/,Shaukat Yousafzai says people are unaware of the facts and expected advantages that will be seen in the long run,"WATCH: After tomato gaffe, PTI leader claims rise in dollar rate would benefit Pakistan",,,,0
https://tribune.com.pk/story/2107657/1-pbc-observe-countrywide-strike-govts-unconstitutional-moves-tomorrow/,Lawyers body accuses PTI govt of seeking to give service extension to Gen Qamar and rescue Gen Musharraf,PBC to observe countrywide strike today,,,,0
https://tribune.com.pk/story/2107644/1-gen-nadeem-raza-assumes-charges-cjcsc/,PM appointed him as head of the three armed forces last week,Gen Nadeem Raza assumes charge as CJCSC,,,,0
https://tribune.com.pk/story/2107594/1-army-chief-attends-emergency-meeting-pm-office/,Third times a charm as govt prepares fresh summary to avoid potential crisis,Govts volte-face on extension issue,,,,2
https://tribune.com.pk/story/2099150/10-quick-bite-baskin-robbins/,Our top picks from Baskin Robbins,A Quick Bite With Baskin Robbins,,,,0
https://tribune.com.pk/story/2099139/10-runs-family-ovais-ali-amjad-zunaira-ovais/,Ovais Ali Amjad And Zunaira Ovais talk about their bond,It Runs In The Family: Ovais Ali Amjad And Zunaira Ovais,,,,0
https://tribune.com.pk/story/2104968/10-accessories-edit-zelo/,Our top picks from Zelo,The Accessories Edit: Zelo,,,,0
https://tribune.com.pk/story/2107412/1-instant-karma-woman-privilege-gets-twitter-grief-police-case-insulting-traffic-cop/,She was outraged at being stopped for breaking a traffic signal on DHA's Khayaban-e- Shahbaz,"Instant karma: Woman of 'privilege' gets Twitter grief, police case for insulting traffic cop",,,,0
https://tribune.com.pk/story/2107479/1-ihc-halts-special-court-announcing-verdict-musharraf-treason-case/,Court sets aside special courts Nov 19 order; directs govt to form a new prosecution team by Dec 5,IHC halts Musharraf treason case verdict,,,,0
https://tribune.com.pk/story/2107372/1-pakistan-sights-set-boosting-ties-africa/,President opens Engage Africa Conference at foreign ministry,Alvi urges greater collaboration with African countries,,,,0
https://tribune.com.pk/story/2107327/10-media-threat-right-left-wingers/,"Populism greatest threat to free speech in our times, says DW head",Media under threat from both right- and left-wingers,,,,0
https://tribune.com.pk/story/2107295/1-jui-f-leader-mufti-kifayatullah-injured-gun-attack/,"Cleric, his sons and friend beaten with iron rods by unidentified assailants",JUI-Fs Kifayatullah injured in attack,,,,0
https://tribune.com.pk/story/2107277/1-worlds-silence-iok-due-trading-interests-pm-imran/,Indian diplomat says New Delhi will build settlements modelled after Israel in occupied Kashmir,PM Imran denounces India's call for Israeli model in occupied Kashmir,,,,0
https://tribune.com.pk/story/2107293/1-supreme-court-resumes-hearing-case-gen-bajwas-extension/,SC gives govt another day to satisfy the bench on Gen Qamars reappointment as COAS or else court will give a...,Pakistan on tenterhooks,,,,0
https://tribune.com.pk/story/2107208/1-art-festival-comes-shah-allah-ditta-caves/,International dance ensemble performs at the historic site,Art festival comes to Shah Allah Ditta caves,,,,0
https://tribune.com.pk/story/2107201/1-govt-mulls-shifting-away-injectables/,SAFRON minister says syringes responsible for alarming spread of infectious diseases,Govt mulls shifting away from injectables,,,,0
https://tribune.com.pk/story/2107195/1-csr-activities-tobacco-companies-part-problem/,Index calles for setting up a wants a code of conduct for all stakeholders on their interaction with the industry,CSR activities by tobacco companies part of the problem,,,,laland
https://tribune.com.pk/story/2107200/1-govt-losing-rs44m-rawal-lake-fishing-rights-fight/,Contractor says licence was extended by a year as compensation for fish deaths,Govt losing Rs44m in Rawal Lake fishing rights fight,,,,4
https://tribune.com.pk/story/2107188/1-bbh-gets-official-nod-kidney-transplant-surgeries/,"Inspection team reviews operation theatre, electro-medical equipment",BBH gets official nod for kidney transplant surgeries,,,,0
https://tribune.com.pk/story/2107190/1-volleyball-player-falls-death/,Federal police were investigating whether the incident was a murder or an accident,Volleyball player falls to death,,,,0
https://tribune.com.pk/story/2107194/1-na-panel-tells-cda-resolve-pending-salaries-issue-janitorial-workers/,Standing Committee on House and Library recommends ministry of finance to release funds to CDA in time,NA panel tells CDA to resolve pending salaries issue of janitorial workers,,,,0
https://tribune.com.pk/story/2107184/1-rda-decides-set-pmu-ring-road-project/,Unit will oversee spending of Rs30m on the project,RDA decides to set up PMU for Ring Road project,,,,0
https://tribune.com.pk/story/2107213/1-pm-imran-shakes-punjab-bureaucracy/,Replaces provincial chief secretary and police chief,PM Imran shakes up Punjab bureaucracy,,,,0
https://tribune.com.pk/story/2107142/1-pm-reiterates-resolves-alleviate-poverty/,Says feeling of compassion and caring have been core ingredients of Ehsas programme,PM reiterates resolves to alleviate poverty,,,,0
https://tribune.com.pk/story/2107129/1-belarus-issues-stamp-commemorate-ties-pakistan/,Development comes during 4th round of Pakistan-Belarus Bilateral Political Consultations,Belarus issues stamp to commemorate ties with Pakistan,,,,0
https://tribune.com.pk/story/2107072/1-queen-maxima-lauds-pm-imrans-efforts-financial-inclusion/,Dutch royal reiterates support for poverty alleviation in meeting with premier,Queen Maxima lauds PM Imran's efforts for financial inclusion,,,,0
https://tribune.com.pk/story/2107064/1-politicians-betraying-masses-false-hope-must-unmasked-shujaat/,PML-Q chief says his party will move Supreme Court to determine which government can be blamed for rising inflation,Politicians betraying masses with false hope must be unmasked: Shujaat,,,,0
https://tribune.com.pk/story/2107052/1-victim-not-believed-rape-culture-flourishes/,A recent event brought together multiple stakeholders to raise awareness about rape in Sindh,"When a victim is not believed, rape culture flourishes'",,,,0
https://tribune.com.pk/story/2106992/1-gulalai-ismails-father-released-bail/,Muhammad Ismail was arrested for allegedly spreading hate of the state on social media,Gulalai Ismail's father released on bail,,,,0
